KCLANPO23N000002191,장소,관광지,8269628,선사주거지,,,60603,유명사적/유적지,5.01101E+18,제주특별자치도,제주시,용담이동,,746-2,5011010900,5011058000,,,,126.5046498,33.50360202,다다075017,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002233,장소,관광지,8269688,정난주마리아묘,,,60603,유명사적/유적지,5.01303E+18,제주특별자치도,서귀포시,대정읍,동일리,10,5013025028,5013025000,,,,126.2611003,33.25413921,나나845743,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002239,장소,관광지,8269697,제주성지,,,60603,유명사적/유적지,5.01101E+18,제주특별자치도,제주시,이도일동,,1437-6,5011010300,5011053000,,,,126.5254974,33.51018776,다다094024,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002242,장소,관광지,8269701,종달리패총유적,,,60603,유명사적/유적지,5.01103E+18,제주특별자치도,제주시,구좌읍,종달리,2596,5011025632,5011025600,,,,126.8926242,33.49537275,다다435005,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002314,장소,관광지,8269805,항몽유적지,,,60603,유명사적/유적지,5.01103E+18,제주특별자치도,제주시,애월읍,상귀리,1012,5011025323,5011025300,5.01103E+11,항파두리로,50,126.4079476,33.45268416,나나985961,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002322,장소,관광지,8269818,협재굴,,,60603,유명사적/유적지,5.01103E+18,제주특별자치도,제주시,한림읍,협재리,355200,5011025031,5011025000,,,,126.2401839,33.38712316,나나828890,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002331,장소,관광지,8269831,황경한묘성지,,,60603,유명사적/유적지,5.01103E+18,제주특별자치도,제주시,추자면,신양리,46,5011032025,5011032000,,,,126.3332314,33.94568648,나다921509,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002332,장소,관광지,8269832,황금굴,,,60603,유명사적/유적지,5.01103E+18,제주특별자치도,제주시,한림읍,협재리,2600,5011025031,5011025000,,,,126.2416227,33.38675247,나나829890,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002521,장소,관광지,8270045,안보물,,,60603,유명사적/유적지,5.01101E+18,제주특별자치도,제주시,회천동,,299866,5011013300,5011062000,,,,126.6016487,33.5017755,다다165014,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002530,장소,관광지,8270054,연북정,,,60603,유명사적/유적지,5.01103E+18,제주특별자치도,제주시,조천읍,조천리,2690,5011025923,5011025900,,,,126.636123,33.54009576,다다197056,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
